0,これはオメガデルタれいしき4そうエクスデスタイマーです。
12,れんぞくまブリザガ、ボスはいめん
16,いどう
19,もとのいちもどる
37,れんぞくまファイガ、さんかい
45,ボスはいめんもどる
48,ホワイトホール、かいふくつかうかPTリストみる
1:03,けっせん、さいごにはえたしょくしゅのうえにしゅうごう
1:13,しょくしゅのないとーてむのまよこにはしる
1:25,ガけいまほう、キャストバーみてたいしょ
1:30,しんくうは、アームストレングスつかう
1:39,ホワイトホール、かいふくつかうかPTリストみる
1:54,ブラックホール、ちゅうおうでかいふくうけてそのあといちかくにん
2:02,せんをかくにん、HPやばければかいふくつかう
2:10,あたまわりのいちかくにん
2:18,ホワイトホール、かいふくつかうかPTリストみる
2:25,しばらくなぐりタイム、このあとサンダガ、メテオ、かいふくするかPTリストみる
2:55,けっせん、さいごにはえたしょくしゅのうえにしゅうごう
3:06,しょくしゅのないとーてむのまよこにはしる
3:18,ガけいまほう、キャストバーみてたいしょ
3:24,しんくうは、けんせい、アームストレングスつかう
3:34,ホワイトホール、かいふくつかうかPTリストみる
3:48,ブラックホール、はじのまま、そのあといちかくにん
3:55,ブラックホールのせんをかくにん、HPやばければかいふくつかう
4:03,フレアついたらヒラタンクのいちかくにん、そしてLB
4:13,ホワイトホール、かいふくつかうかPTリストみる
4:20,しばらくなぐりタイム、このあとサンダガ、メテオ、かいふくするかPTリストみる
4:30,じかんぎれもくぜん、59ぱーせんとまであといくつ？、くすりつかってないかかくにん
